,Tofu - extra firm,1.5,packets
,"Bamboo shoots, canned",0.5,cans
,Red bell pepper,250,g
,Broccoli,350,g
,Cauliflower,400,g
,Sugar,1,tbs
,Cilantro,0.25,bunches
,,,
,,,
Steps to Prepare,,,
1,"Chop the vegetables and tofu into bite sized pieces (Broccoli + cauliflower 1 inch florets, red bell pepper into 1 inch squares, tofu into 1 inch cubes)",,
2,To a large pot add the creamy part of half of the coconut milk and reduce the cocount milk until it starts to release oil,,
3,Add the curry paste and saute for a few minutes until fragrant.  Add broccoli and cauliflower and mix.,,
4,"Once a bit tender, bamboo shoots and tofu.  Once cauliflower is about 70% done add the red bell pepper.",,
5,Add remaining coconut milk.  Simmer for a few minutes taking care that the red pepper is still crunchy to eat.,,
6,All vegetables should be cooked with a slight crunch and not mushy.  Switch off flame and add cilantro,,
,,,
,,,
Recipe,Green cabbage salad (thai),,,
Ingredients,,,
,,,
,Cabbage,350,g
,Romaine lettuce,125,g
,Mint,0.5,bunches
,Cilantro,0.5,bunches
,Sesame seeds,20,g
,Dressing:,,
,Tamari,2,tbs
,Garlic,5,g
,Green chillies,1,g
,Lemon juice concentrate,1,tbs
,Sugar,1,tbs
,Salt,to taste,
,,,
,,,
,,,
Steps to Prepare,,,
1,Shred the cabbage into thin long pieces in the food processor.  Shred the lettuce into long thin strips,,
2,Roughly chop the cilantro and mint,,
3,"Combine tamari, garlic, chillies, lemon, sugar, and salt and then toss well to create the dressing",,
4,"In a bowl mix all the ingredients garnish with sesame seeds, cilantro and mint",,
5,Let it sit for about 20-30 minutes before serving,,
,,,
,,,
Recipe,Parippu (simple toor dal),,,
Ingredients,,,
,Toor Dal,2,cup
,Turmeric powder,2,tsp
,Hing,0.5,tsp
,Lemon juice concentrate,4,tsp
,Salt,to taste,
,,,
,,,
,,,
Steps to Prepare,,,
1,Soak toor dal for 3-4 hours in lukewarm water;  Do not over soak dal.  Pressure cook it until soft; mash / hand blend till smooth. ,,
2,Add hot water to adjust consistency as needed.  Final consistency should be like sambar,,
3,"Add turmeric powder, hing, salt and bring to a boil",,
4,Add lemon juice just before serving.  Serve on the rice with a teaspoon of ghee,,
,,,
,,,
,,,
Recipe,Raw Plantain Poriyal,,,
Ingredients,,,
,Plantain,750,g
,Frozen coconut,100,g
,Onion,100,g
,Green chillies,5,g
,Coconut oil,2,tbs
,Chana dal,1,tbs
,Urad Dal,1,tbs
